taxonomy,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
Ackermannviridae,162,1480,2518,98,4345,1581,1703,2427,47045,2409,9386
Adintoviridae,149,0,0,2,0,0,0,0,0,0,0
Afonbuvirus,23,0,0,148,0,0,22,6,22,108,16
Albetovirus,0,0,0,0,0,0,0,0,10,2,0
Alexandravirus,0,2,8,0,0,0,0,0,30,0,0
Alfamovirus,884,633,148,149,426,32,469,137,255,655,43
Alisovirus,0,0,0,0,0,0,0,0,0,0,64
Alphachrysovirus,16,0,0,0,0,2,0,4,0,4,0
Alphaendornavirus,147,36,43,8,44,13,54,11,28,18,30
Alphanecrovirus,0,0,0,0,0,0,10,0,0,0,0
Aparavirus,6,2,0,2,4,6,2,0,0,2,2
Arenavirus,12,0,0,0,0,0,0,0,0,0,0
Astroviridae,464,27,132,254,22,65,32,156,0,2,12
Audreyjarvisvirus,25,0,0,0,0,0,0,0,0,0,0
Aureusvirus,2,136,0,6,0,243,0,0,54,0,1247
Aurodevirus,0,0,0,32,0,2,0,2,381,0,212
Avastrovirus,0,0,6,0,8,0,0,6,0,0,0
Avunavirus,0,0,0,0,0,0,0,0,13,0,0
Baoshanvirus,0,45,0,0,0,0,0,0,44,0,0
Barnaviridae,6,0,4,0,0,0,2,0,0,0,0
Beecentumtrevirus,0,0,0,0,20,0,0,0,0,0,0
Beograduvirus,10,17,0,1,0,0,0,0,0,0,0
Bequatrovirus,0,0,0,4,0,0,0,0,73,0,48
Betabaculovirus,0,8,4,0,0,0,0,0,0,0,0
Betaendornavirus,0,0,2,2,0,0,12,0,0,0,0
Betanecrovirus,18,438,0,2,0,1118,2,0,121,0,4467
Betapartitivirus,10,0,8,0,2,0,2,0,0,0,0
Betaretrovirus,0,0,4,205,10,51,5,11,10,4,92
Betatectivirus,0,333,547,195,0,0,0,0,0,0,1799
Birnaviridae,0,9,344,2,0,4004,6,8,0,8,173
Birpovirus,6539,0,0,22,40,0,850,5996,117,3528,2250
Blohavirus,8017,0,0,0,49,0,1012,6908,108,4804,6
Bohxovirus,38,0,49,0,0,14,0,0,0,0,0
Bopivirus,1988,0,0,0,31,232,18,0,2,581,0
Botourmiaviridae,16,0,0,0,0,6,0,0,0,0,0
Buchavirus,1514,11,0,14553,26,0,1021,9846,374,14096,247
Buhlduvirus,7625,440,0,2,1,0,0,4,252,154,0
Bunyavirales,29,0,6,2,2,0,26,2,0,8,8
Burzaovirus,2879,22847,16391,2686,476,8735,50236,7297,4794,11880,66545
Cacepaovirus,1460,91,0,17,0,0,5064,186,45,139,2
Caeruleovirus,23,31,0,6,0,0,0,0,0,0,0
Caliciviridae,2,8,26,4,19,6,0,0,9,12,1
Canhaevirus,30,235,0,10,0,0,0,0,0,0,0
Carlavirus,426655,79202,41533,66250,158431,79262,242802,10101,271433,35616,13152
Caulimovirus,1552,484,153,225,854,577,255,50,16,148,246
Cequinquevirus,0,0,0,0,28,0,0,0,0,0,0
Chimpavirus,8,54,26,46,13,12,0,0,0,74,10
Chuhaivirus,64,91683,53,809506,109,919,8900,4682,220048,3446,462
Circoviridae,0,0,0,0,196,0,0,0,0,0,0
Clandestinovirus,4,4,0,0,0,0,0,0,0,0,0
Claudivirus,0,0,0,0,0,0,0,0,96,0,0
Closteroviridae,4,2,0,0,4,3,4,4,2,2,4
Closterovirus,151,55,32,52,207,375,103,41,590,46,137
Cohcovirus,1,185,834,60,0,88,154,1675,743,1,0
Comovirus,6,0,0,0,0,0,20,8,0,0,0
Corticoviridae,0,0,0,0,0,0,100,0,0,2,0
Cotonvirus,2,0,28,2,0,4,0,0,0,0,8
Crassvirales,148840,1025246,553273,24714,321506,137280,140909,43832,350962,141403,615557
Crohivirus,0,0,4,2,0,12,12,24,86,34,0
Cuauhnahuacvirus,0,0,0,308,0,474,159,319,0,4,0
Culoivirus,0,0,0,0,0,0,11,24,57,0,0
Cypovirus,6,3,0,6,0,0,0,0,0,0,2
