taxonomy,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
Caudovirales ,271343,160916,57764,1187269,590207,2118911,533465,868422,102610,1074345,276193
Aphthovirus,18309,1686,1124,26,225021,417,1363,9,0,44890,1392
Unclassified bacterial viruses,420746,110315,41686,389123,66790,17356,390083,159148,60932,251324,75813
Unclassified Caudoviricetes,485707,18134,14173,4805,46769,2965,26103,13021,494,142433,9790
Herelleviridae,52,0,0,1121,35494,195,8595,13449,314,1033,585
Carlavirus,32783,59714,8477,60761,20915,17728,5422,12078,19160,131246,2113859
Closterovirus,44,188,0,519,20626,186,0,10,518,0,1008
Partitiviridae,6404,3601,72,10678,15868,14526,1597,2623,910,8377,12270
Myoviridae,36853,5220,1076,120098,15843,1959,35206,10322,2132,19626,4641
Ackermannviridae,0,0,0,101,11739,4,0,32,0,240,0
Parapoxvirus,4695,2,6,539,5403,7064,397,33468,0,1058,0
Lolavirus,139502,20108,0,7289,4632,17002,402,2723,32234,18098,54736
Macluravirus,495,3275,310,301,4575,323,44,256,8410,4585,4735
Astroviridae,2181,40752,24254,193,4152,343,763,229,18791,21855,52029
Orthodiscovirus,1684,2,15011,9064,4099,42300,33,426,8,41600,3767
Unclassified Riboviria,5858,4476,809,578,4002,3244,250,12869,3351,15947,196062
Cystovirus,20,0,4575,0,3009,0,11121,1211,0,58981,0
Podoviridae,41531,0,0,191,2844,211,245,71,0,6726,192
Sobemovirus,3999,7926,380,1348,2633,102,208,541,1534,49184,6818
Potexvirus,2290,0,272,165,2499,86,628,666,0,1704,188
Mitoviridae,726,9650,226,12162,2433,243,1312,33629,1446,98051,29993
Picobirnavirus,2259,22795,0,11109,2365,7891,100,385,3621,323598,2667
Narnaviridae,4181,1812,280,617,2255,66,0,1265,655,10590,96623
Lasallevirus,38393,6697,15010,8,1645,10,3774,1307,0,18522,0
Mydovirus,0,0,0,0,1234,0,0,0,0,0,0
Nepovirus,2192,16458,0,27,1082,2647,1779,517,9436,11430,60192
Nodaviridae,320,79647,2,548,997,848,327,139,1229,1478,8945
Reovirales,633,1238,0,46,806,217,24,176,294,7645,790
Unclassified Negarnaviricota,862,0,1638,0,633,58,34,409,0,3928,19937
Inoviridae,161,732,548,1549,590,135,3982,15800,486,5187,628
Tegunavirus,5682,772,4428,0,563,0,795,343,0,6254,0
Magoulivirus,1194,956,1553,791,544,97,5128,500,416,5117,1047
Idaeovirus,124,18970,0,7,492,449,461,156,3894,1155,464
Mitovirus,1236,1297,0,2,445,46,0,183,0,5209,19187
Chopinvirus,172,2852,1877,339,417,220,1324,557,1529,926,1364
Straboviridae,11033,2230,4712,0,409,0,1103,490,0,5336,0
Mononegavirales,700,0,34278,12,385,26,0,32,0,9628,386
Lazarusvirus,2888,873,1910,0,368,0,641,127,0,1324,0
Takahashivirus,0,0,0,0,366,12,0,0,0,0,0
Botourmiaviridae,2211,355,463,48,326,25,0,536,0,6515,3769
Burzaovirus,28,0,260,237276,318,10,0,10,0,174,0
Chimpavirus,0,0,0,717,308,241,0,0,0,336,0
Totivirus,180,306,30,84,306,2,4,0,0,1074,2893
Retroviridae,0,0,0,10,300,205,0,8,0,0,0
Betaretrovirus,28,0,0,8,271,715,0,6,0,0,0
Unclassified viruses,124,0,74,720,270,468,1561,98,0,1732,5282
Peribunyaviridae,117,0,0,0,256,16,0,8,0,1118,0
Narnavirus,128,192,0,7,250,86,0,205,0,1088,112576
Totiviridae,0,0,0,114,242,4,0,38,0,236,5840
Siphoviridae,11531,786,0,15945,238,2369,2038,4368,3959,9378,3126
Ophiovirus,4105,134246,781,625,237,598,191,614,1472,143251,121916
Ourmiavirus,376,0,290,0,166,6,0,30,0,1195,0
Picobirnaviridae,2592,0,232,0,136,4227,899,29679,0,28521,3835
Tombusviridae,68,1016,0,34,136,26,0,4,627,152,4665
Dicistroviridae,332,0,260,124,114,112,82,30,0,610,6053
Chrysovirus,256,0,0,0,106,6,0,16,0,874,0
Duamitovirus,0,0,0,0,104,0,0,0,0,347,2938
Unuamitovirus,0,0,0,24,94,10,0,108,0,0,10564
Winklervirus,3235,772,1488,0,94,0,238,92,0,2167,0
Anulavirus,0,0,0,11,74,0,24,58,0,0,3279
Mamastrovirus,32,480,0,12,68,52,0,0,0,453,0
Fipvunavirus,0,0,0,0,58,0,734,0,0,522,0
Kujavirus,210,151,0,0,58,0,26,12,0,0,0
Roskildevirus,1708,2,810,0,58,0,248,94,0,101,0
Enquatrovirus,32,0,0,2894,56,34,315,2735,686,448,2945
Laulavirus,114,0,0,0,50,0,0,484,0,0,32782
Betapartitivirus,1080,0,0,0,48,153,20,0,0,3766,16
Tombusvirus,7479,355,0,6,48,0,0,0,0,0,185
Kungbxnavirus,18,0,0,165,46,12,579,0,0,450,0
Cytorhabdovirus,0,0,0,0,40,0,0,0,293,0,0
Alphaendornavirus,24,435,0,20,38,58,0,6,0,1512,852
Alfamovirus,36,0,0,77,30,0,0,4373,0,606,0
Gelderlandvirus,2722,500,1560,0,25,0,260,92,0,1302,0
Sinaivirus,0,0,0,61,8,22,0,0,0,28185,0
Tunavirus,4,0,0,109,1,0,66,18,0,3,23
Acajnonavirus,868,0,590,0,0,0,82,44,0,646,0
Akihdevirus,0,0,0,4,0,0,70,0,0,0,0
Almendravirus,0,0,0,0,0,3708,0,0,0,0,0
Alphachrysovirus,24,0,0,0,0,0,0,14,0,0,0
Alphafusarivirus,0,0,0,0,0,0,0,463,0,244,0
Alphanodavirus,66,0,0,8,0,102,0,0,0,0,0
Alphavirus,0,0,0,0,0,0,0,0,0,0,424
Aparavirus,32,0,0,18,0,4,0,6,0,0,0
Arenavirus,66,0,0,0,0,0,0,0,0,0,0
Betanecrovirus,0,0,0,0,0,0,0,19,0,0,512
Blunervirus,0,0,0,0,0,34,0,7,0,0,0
Bragavirus,0,0,0,0,0,0,24,32,0,0,0
Bunyavirales,7068,545,0,8,0,22,96,696,0,988,16828
Chrysonvirus,0,0,0,0,0,0,0,8,0,0,0
Cinqassovirus,0,402,0,5,0,0,0,0,0,0,0
Closteroviridae,0,0,0,8,0,0,0,0,0,0,135
Coguvirus,62,0,0,14,0,0,0,216,230,0,15834
Crassvirales,1784,762,0,215,0,14,0,249,0,4160,0
Cypovirus,24,491,0,4,0,16,0,0,0,0,0
Deltaflexiviridae,0,0,0,0,0,0,0,30,0,1428,0
Deltaflexivirus,0,0,0,0,0,0,0,8,0,0,0
Endornaviridae,8,0,0,26,0,22,0,0,0,912,751
Fiersviridae,0,0,0,490,0,24,0,12,0,1110,0
Fletchervirus,0,0,0,28,0,0,0,0,0,0,0
Fremauxvirus,0,0,0,26,0,0,50,76,0,0,0
Fusariviridae,0,0,0,0,0,0,0,104,0,212,0
Gualtarvirus,190,0,502,0,0,0,48,8,0,0,0
Hubramonavirus,0,0,0,0,0,0,0,0,0,0,282
Iflaviridae,54,0,0,0,0,0,0,0,0,0,0
Jiangsuvirus,342,0,0,0,0,0,102,30,0,480,0
Jiaodavirus,1138,1479,1794,0,0,0,181,85,0,769,0
Karamvirus,190,0,0,0,0,0,14,4,0,219,0
Kehishuvirus,272,0,0,0,0,0,0,64,0,0,0
Kirovvirus,17,0,0,0,0,0,0,12,0,0,0
Klumppvirus,54,0,0,0,0,26,28,12,0,0,0
Luteovirus,0,0,0,26,0,8,0,0,0,0,0
Metrivirus,46,4022,1122,8589,0,7416,137034,34,5229,333621,12210
Microviridae,0,0,0,409,0,530,120,18208,0,0,0
Mosigvirus,1152,0,536,0,0,0,126,64,0,330,0
Negevirus,0,0,0,0,0,42,0,0,0,0,0
Nevevirus,114,0,0,359,0,4,464,1481,0,627,0
Paundecimvirus,0,0,0,78,0,0,0,0,0,0,0
Penicillimonavirus,1019,0,0,0,0,0,0,70,0,0,426
Penoulivirus,0,0,0,0,0,0,0,43,0,467,0
Phapecoctavirus,0,0,0,217,0,0,0,0,0,0,0
Phenuiviridae,110,0,0,0,0,0,0,37,0,230,9726
Phietavirus,0,0,0,0,0,0,0,458,0,0,0
Picornavirales,42,0,0,50,0,124,0,98,0,774,3066
Picornaviridae,0,0,0,0,0,0,0,0,0,0,474
Plaisancevirus,30,0,0,0,0,0,412,0,0,0,0
Polerovirus,0,368,0,753,0,54,34,0,0,0,0
Potyvirus,24,0,0,0,0,0,14,0,0,11190,0
Privateervirus,0,0,0,32,0,0,305,354,0,0,0
Qinviridae,90,0,0,0,0,4,0,0,0,578,0
Rhabdoviridae,0,0,0,0,0,605,0,0,0,0,0
Rountreeviridae,0,0,0,0,0,0,0,0,0,2488,0
Rymovirus,0,0,0,22,0,4,0,0,0,0,0
Saclayvirus,0,0,0,841,0,0,0,0,0,248,0
Schizomimiviridae,0,0,0,0,0,0,0,14,0,0,0
Scleroulivirus,294,0,0,0,0,0,0,71,0,386,370
Sepunavirus,22,0,0,0,0,0,116,193,0,2609,0
Solemoviridae,0,0,0,0,0,0,0,0,0,0,5605
Statovirus,0,0,0,10,0,0,0,0,0,0,0
Steitzviridae,21339,0,0,0,0,0,0,157,0,0,0
Tobamovirus,0,0,0,24,0,0,0,8,0,560,3910
Tulanevirus,0,0,0,4,0,0,14,28,0,0,0
Tymovirales,0,0,0,60,0,0,12,1409,0,16222,14794
Tymovirus,0,0,0,0,0,0,0,287,0,0,1350
Umbravirus,0,0,0,0,0,0,0,0,0,0,574
Virgaviridae,76,0,0,0,0,4,0,2,0,1214,619
Weheuvirus,0,0,0,0,0,0,28,0,0,0,0
Yueviridae,1162,0,0,13,0,10,110,3,0,774,48
Zobellviridae,0,0,0,89,0,0,0,0,0,0,0
,1623801,750959,247243,2092907,1110127,2280121,1183478,1256529,286900,3028232,3467778
,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
,,,,,,,,,,,
P18 ,"18,381,405",,,,,,,,,,
W64,"12,838,378",,,,,,,,,,
Y14,"15,485,106",,,,,,,,,,
Y17,"14,220,387",,,,,,,,,,
Y18,"16,365,398",,,,,,,,,,
Y35,"13,484,657",,,,,,,,,,
Y41,"18,880,150",,,,,,,,,,
Y70,"32,056,352",,,,,,,,,,
W3,"20,375,283",,,,,,,,,,
Y7,"15,275,728",,,,,,,,,,
Y52,"13,268,730",,,,,,,,,,
