contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18F,W3F,W64F,Y14F,Y17F,Y18F,Y25F,Y41F,Y52F,Y70F,Y7F
k141_1754773,321,YP_009116874.1,YP_009116874.1 polyprotein [Bovine picornavirus],43.4,106,2.01E-20,Viruses,Bovine picornavirus0Bopivirus A,1564115;2169775,Bovine picornavirus0Bopivirus A,,,16,0,0,0,0,0,0,0,0,0,0
k141_252267,540,YP_009116874.1,YP_009116874.1 polyprotein [Bovine picornavirus],57.6,165,2.85E-53,Viruses,Bovine picornavirus0Bopivirus A,1564115;2169775,Bovine picornavirus0Bopivirus A,,,49,0,0,0,0,0,12,0,0,0,0
k141_2913681,358,YP_009116874.1,YP_009116874.1 polyprotein [Bovine picornavirus],96.8,93,1.93E-52,Viruses,Bovine picornavirus0Bopivirus A,1564115;2169775,Bovine picornavirus0Bopivirus A,,,4,0,0,0,0,12,0,0,0,0,0
k141_2931342,1167,YP_009116874.1,YP_009116874.1 polyprotein [Bovine picornavirus],98.5,388,1.31E-262,Viruses,Bovine picornavirus0Bopivirus A,1564115;2169775,Bovine picornavirus0Bopivirus A,,,24,0,0,0,0,67,0,0,0,0,0
k141_1343204,543,Q89425.1,Q89425.1 RecName: Full=Early transcription factor large subunit homolog; AltName: Full=ATP-dependent helicase VETFS homolog [African swine fever virus Malawi LIL 20/1],29.7,158,3.04E-18,Viruses,African swine fever virus0African swine fever virus Malawi LIL 20/1,10497;10500,African swine fever virus0African swine fever virus Malawi LIL 20/1,,,8,10,34,0,0,12,0,0,0,0,0
k141_1227710,629,WBW30788.1,WBW30788.1 polyprotein [Bovine nebovirus],95.7,209,2.26E-131,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,22,0,0,0,0,0,0,2,0
k141_1897385,427,WBW30791.1,WBW30791.1 VP2 minor capsid protein [Bovine nebovirus],65,140,2.74E-56,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,0,0,15,0
k141_1930838,346,WFD61509.1,WFD61509.1 ORF1 [Bovine nebovirus],98.2,114,5.33E-66,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,22,0,0,0
k141_2405218,308,WBW30781.1,WBW30781.1 polyprotein [Bovine nebovirus],86.3,102,3.89E-58,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,0,0,6,0
k141_28135,417,WBW30784.1,WBW30784.1 polyprotein [Bovine nebovirus],94.9,138,2.56E-74,Viruses,Bovine nebovirus,1661258,Bovine nebovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Caliciviridae|Nebovirus|unclassified Nebovirus|Bovine nebovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,0,0,22,0
