contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18O,W3O,W64O,Y14O,Y17O,Y18O,Y25O,Y41O,Y52O,Y70O,Y7O
k141_253388,681,QXV86406.1,"QXV86406.1 major core protein, partial [Reoviridae sp.]",38.5,221,9.59E-37,Viruses,Reoviridae sp.,2585267,Reoviridae sp.,root|Viruses|Riboviria|Orthornavirae|Duplornaviricota|Resentoviricetes|Reovirales|unclassified Reovirales|Reoviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|no rank|species,22,272,0,14,0,17,0,6,0,0,0
k141_16884,777,WDS52675.1,"WDS52675.1 MAG: polyprotein, partial [Bovine rhinitis A virus]",91.5,258,1.07E-163,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,40,0,0,0,0,0,192,0,0,0,0
k141_236298,1051,ANN02884.1,"ANN02884.1 polyprotein, partial [Bovine rhinitis A virus]",97.4,350,1.24E-234,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,60,0,0,0,0,0,294,0,0,326,0
k141_237299,380,YP_009508911.1,YP_009508911.1 VP3 [Bovine rhinitis A virus],90,80,5.85E-40,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,22,0,0,0,0,0,78,7,0,0,0
k141_276228,407,ANN02884.1,"ANN02884.1 polyprotein, partial [Bovine rhinitis A virus]",97.6,125,1.33E-70,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,64,0,0,0,0,10,40,0,0,0,0
k141_401021,501,YP_009508910.1,YP_009508910.1 VP2 [Bovine rhinitis A virus],90.4,157,1.86E-98,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,42,0,0,0,0,0,97,0,0,0,0
k141_526034,1125,WDS52675.1,"WDS52675.1 MAG: polyprotein, partial [Bovine rhinitis A virus]",92.7,370,9.81E-244,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,170,0,0,0,0,0,246,0,0,198,0
k141_588642,547,UVN12896.1,"UVN12896.1 MAG: polyprotein, partial [Bovine rhinitis A virus]",97.8,182,2.94E-116,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,78,0,0,0,0,0,82,0,0,202,0
k141_79107,687,YP_009508915.1,YP_009508915.1 2C [Bovine rhinitis A virus],99.1,212,2.81E-148,Viruses,Bovine rhinitis A virus,1155188,Bovine rhinitis A virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis A virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,126,0,0,0,0,0,192,0,0,268,0
k141_388656,7565,UVN12879.1,UVN12879.1 MAG: polyprotein [Bovine rhinitis B virus],91.5,2283,0,Viruses,Bovine rhinitis B virus,693066,Bovine rhinitis B virus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Caphthovirinae|Aphthovirus|Bovine rhinitis B virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|subfamily|genus|species,17707,1686,1124,26,225021,407,142,2,0,43896,1392
k141_101333,411,QKN88945.1,QKN88945.1 MAG: hypothetical protein 1 [Picornavirales sp.],99.3,136,3.61E-82,Viruses,Picornavirales sp.,1955153,Picornavirales sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|unclassified Picornavirales|Picornavirales sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|no rank|species,0,0,0,8,0,0,0,12,0,0,222
k141_305439,509,QKN88945.1,QKN88945.1 MAG: hypothetical protein 1 [Picornavirales sp.],93.5,169,3.64E-102,Viruses,Picornavirales sp.,1955153,Picornavirales sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|unclassified Picornavirales|Picornavirales sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|no rank|species,0,0,0,4,0,0,0,10,0,0,174
k141_478473,678,QJI53534.1,QJI53534.1 MAG: hypothetical protein 1 [Picornavirales sp.],36.7,188,3.13E-17,Viruses,Picornavirales sp.,1955153,Picornavirales sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|unclassified Picornavirales|Picornavirales sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|no rank|species,0,0,0,0,0,32,0,4,0,0,0
k141_565783,405,QJI53523.1,QJI53523.1 MAG: structural polyprotein [Picornavirales sp.],93.3,134,1.25E-81,Viruses,Picornavirales sp.,1955153,Picornavirales sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|unclassified Picornavirales|Picornavirales sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|no rank|species,0,0,0,18,0,0,0,8,0,0,0
k141_162612,365,WDD45042.1,WDD45042.1 ORF1a [Bovine astrovirus],71.7,106,9.87E-39,Viruses,Bovine astrovirus,1435485,Bovine astrovirus,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|unclassified Mamastrovirus|Bovine astrovirus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,4,0,0,0,0,0
